name,stars,age_in_years,releases,primary_language,repo_url,dit,loc,cbo:mean,cbo:median,cbo:std,lcom*:mean,lcom*:median,lcom*:std,processed
dromara/hutool,28910,10.41,145,Java,https://github.com/dromara/hutool,11.0,123462.0,3.544385893798135,2.0,3.8642284809507736,0.286456498815534,0.0,0.38074757547343696,True
alibaba/canal,28328,11.66,30,Java,https://github.com/alibaba/canal,13.0,112401.0,5.775763358778626,4.0,6.41356985103283,0.365324176756,0.2857143,0.3800558368354545,True
apache/kafka,28315,13.08,0,Java,https://github.com/apache/kafka,17.0,594386.0,7.338806718475809,4.0,12.4084474044586,0.29894787017863445,0.13484849,0.33963972238030704,True
wuyouzhuguli/SpringAll,28219,6.36,0,Java,https://github.com/wuyouzhuguli/SpringAll,4.0,6041.0,5.220430107526882,4.0,4.205706802367544,0.2341099778108108,0.0,0.3266376679813848,True
alibaba/druid,27881,12.86,51,Java,https://github.com/alibaba/druid,32.0,332319.0,5.0358839050131925,4.0,12.66738885838752,0.14828179384879603,0.0,0.2890318027013559,True
alibaba/spring-cloud-alibaba,27772,6.77,42,Java,https://github.com/alibaba/spring-cloud-alibaba,5.0,20574.0,5.832072617246596,5.0,4.86898860297565,0.2373934179051988,0.0,0.3217553389146237,True
xuxueli/xxl-job,27347,8.79,33,Java,https://github.com/xuxueli/xxl-job,4.0,8637.0,4.693251533742331,3.0,5.099418093042678,0.29907390732919253,0.0,0.33677355299569317,True
lenve/vhr,27281,6.68,0,Java,https://github.com/lenve/vhr,2.0,2971.0,4.4361702127659575,2.0,5.811870667167214,0.3059697389247312,0.0,0.36561682489999675,True
crossoverJie/JCSprout,27067,6.73,0,Java,https://github.com/crossoverJie/JCSprout,4.0,4399.0,1.962962962962963,1.0,1.8522221851925909,0.14677419770186334,0.0,0.26064380342743454,True
YunaiV/ruoyi-vue-pro,26585,3.62,28,Java,https://github.com/YunaiV/ruoyi-vue-pro,5.0,75982.0,7.790697674418604,6.0,7.120833522550999,0.25413486681493164,0.0,0.3425239392279257,True
qiurunze123/miaosha,26166,5.99,0,Java,https://github.com/qiurunze123/miaosha,4.0,8581.0,4.178321678321678,3.0,4.631869532386952,0.31483880318548385,0.0,0.361039702133477,True
alibaba/fastjson,25713,12.86,84,Java,https://github.com/alibaba/fastjson,15.0,206496.0,1.8319898846214635,1.0,2.72263473205699,0.13648992292678538,0.0,0.2738151184679474,True
JakeWharton/butterknife,25568,11.52,0,Java,https://github.com/JakeWharton/butterknife,6.0,7712.0,3.9595588235294117,2.0,6.402135198469411,0.18826376223744296,0.0,0.34313925998724054,True
hollischuang/toBeTopJavaer,25290,5.88,0,Java,https://github.com/hollischuang/toBeTopJavaer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
apache/incubator-seata,25204,5.7,40,Java,https://github.com/apache/incubator-seata,911.0,208947.0,6.676069730586371,4.0,23.61611193051537,0.24459631337907653,0.0,0.3633819079262879,True
proxyee-down-org/proxyee-down,24939,6.88,49,Java,https://github.com/proxyee-down-org/proxyee-down,5.0,3392.0,5.516666666666667,4.0,6.171147021061446,0.38705767813559316,0.4,0.374959043497201,True
scwang90/SmartRefreshLayout,24885,7.27,12,Java,https://github.com/scwang90/SmartRefreshLayout,6.0,18989.0,6.469543147208122,4.0,7.340890020205143,0.15499829585051544,0.0,0.2848738569535466,True
DrKLO/Telegram,24730,10.88,93,Java,https://github.com/DrKLO/Telegram,1771.0,1567511.0,6.6216086817746564,3.0,13.784447226749052,0.2760263459495765,0.0,0.33034599851684315,True
greenrobot/EventBus,24672,12.16,7,Java,https://github.com/greenrobot/EventBus,12.0,5269.0,3.4262295081967213,3.0,3.0575125594429085,0.16040234316666666,0.0,0.2903786136679236,True
Netflix/Hystrix,24073,11.81,79,Java,https://github.com/Netflix/Hystrix,77.0,62010.0,2.8952618453865338,1.0,4.624989316562773,0.11143646766114458,0.0,0.251393641153828,True
apache/flink,23783,10.26,0,Java,https://github.com/apache/flink,61.0,1158932.0,7.076565468731051,4.0,8.737703051873527,0.31591728087920506,0.0,0.3616365988614387,True
apache/skywalking,23685,8.84,60,Java,https://github.com/apache/skywalking,7.0,85261.0,6.004857997010463,4.0,6.645433399675392,0.26273420508725115,0.0,0.33047554787431693,True
google/gson,23230,9.48,7,Java,https://github.com/google/gson,7.0,34569.0,2.9982014388489207,2.0,4.241368340320292,0.10192022092087041,0.0,0.23661554313902783,True
redisson/redisson,23170,10.67,153,Java,https://github.com/redisson/redisson,7.0,153502.0,5.904561134534305,3.0,10.499141867916112,0.1851499960740455,0.0,0.308570769175038,True
libgdx/libgdx,23129,12.09,11,Java,https://github.com/libgdx/libgdx,48.0,283666.0,5.016679113766492,3.0,8.683949215961965,0.2614236780088773,0.0952381,0.3153731278749555,True
bazelbuild/bazel,22961,10.25,153,Java,https://github.com/bazelbuild/bazel,46.0,629034.0,7.360754070265639,5.0,9.976060571255186,0.2530730496653738,0.0,0.33570023520127285,True
jenkinsci/jenkins,22941,13.8,364,Java,https://github.com/jenkinsci/jenkins,60.0,180909.0,6.055445052212829,4.0,8.276467207476793,0.22625926662699014,0.0,0.3296522433825922,True
alibaba/Sentinel,22289,6.44,25,Java,https://github.com/alibaba/Sentinel,18.0,54258.0,4.266891891891892,3.0,4.5109160170232565,0.2274422519925221,0.0,0.32461906585355055,True
keycloak/keycloak,22101,11.19,61,Java,https://github.com/keycloak/keycloak,24.0,463989.0,6.501752190237797,4.0,7.988692536593354,0.34505410797023656,0.16666667,0.37223853229936693,True
doocs/source-code-hunter,21942,4.87,0,Java,https://github.com/doocs/source-code-hunter,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
google/ExoPlayer,21700,10.24,28,Java,https://github.com/google/ExoPlayer,31.0,262348.0,7.431575739103931,5.0,8.662328251609095,0.29622395121474454,0.0,0.34591474286819907,True
OpenAPITools/openapi-generator,21244,6.33,66,Java,https://github.com/OpenAPITools/openapi-generator,12.0,229645.0,4.68281288418982,3.0,5.543241035302563,0.2722800503963942,0.0,0.3743932998178625,True
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,21210,11.8,0,Java,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,1.0,894.0,2.901098901098901,2.0,2.820860070912615,0.043951311235955054,0.0,0.12839360554953078,True
elunez/eladmin,21177,5.74,1,Java,https://github.com/elunez/eladmin,4.0,7752.0,7.749116607773852,4.0,7.933287939026612,0.2563269407860262,0.0,0.33852773888287063,True
apache/rocketmq,21047,7.78,19,Java,https://github.com/apache/rocketmq,11.0,207095.0,6.785791561485755,3.0,10.282114339619653,0.31654438532026385,0.25,0.338993126688007,True
didi/DoKit,20075,6.07,10,Java,https://github.com/didi/DoKit,18.0,80669.0,4.434285714285714,2.0,5.639033383982483,0.2626607037121311,0.0,0.3576845234109216,True
CarGuo/GSYVideoPlayer,20064,7.82,47,Java,https://github.com/CarGuo/GSYVideoPlayer,10.0,30718.0,5.492537313432836,2.0,6.796340398756664,0.23826131091062394,0.0,0.3514202851037499,True
ReactiveX/RxAndroid,19884,10.06,20,Java,https://github.com/ReactiveX/RxAndroid,3.0,1452.0,2.272727272727273,1.0,3.7535657977910963,0.07083132944444445,0.0,0.1971874371141893,True
brettwooldridge/HikariCP,19836,10.93,0,Java,https://github.com/brettwooldridge/HikariCP,5.0,10652.0,4.386503067484663,3.0,4.364279367459175,0.22485836214723928,0.0,0.34546646613447585,True
iBotPeaches/Apktool,19798,12.48,22,Java,https://github.com/iBotPeaches/Apktool,5.0,12384.0,6.4804469273743015,4.0,5.638396679792197,0.31177843539325845,0.0,0.3674068014190802,True
apache/shardingsphere,19760,8.65,56,Java,https://github.com/apache/shardingsphere,7.0,188129.0,6.468344965104686,4.0,12.544596217887308,0.18963179604864708,0.0,0.31863138981285727,True
mybatis/mybatis-3,19687,11.57,43,Java,https://github.com/mybatis/mybatis-3,7.0,55439.0,3.529850746268657,2.0,4.949154858010517,0.22636364285905144,0.0,0.3175847597555394,True
linlinjava/litemall,19098,6.47,8,Java,https://github.com/linlinjava/litemall,2.0,90876.0,4.4772727272727275,3.0,5.492864589005659,0.42657839666557373,0.5,0.36766982292778516,True
yudaocode/SpringBoot-Labs,18940,5.99,0,Java,https://github.com/yudaocode/SpringBoot-Labs,4.0,17720.0,4.31503088538092,4.0,2.9903070158679435,0.1373789781396957,0.0,0.2537716962057965,True
Baseflow/PhotoView,18764,12.15,5,Java,https://github.com/Baseflow/PhotoView,3.0,1792.0,4.733333333333333,3.0,5.48290271865389,0.16322659733333333,0.0,0.29469219344958114,True
dianping/cat,18626,11.77,3,Java,https://github.com/dianping/cat,10.0,97761.0,5.260708619777895,4.0,5.7615435205333885,0.31310444208230886,0.0,0.356727961603078,True
yuliskov/SmartTube,18539,4.12,474,Java,https://github.com/yuliskov/SmartTube,49.0,232032.0,6.489776357827476,4.0,7.807880283321094,0.3168884527741624,0.0,0.365018433918386,True
forezp/SpringCloudLearning,17839,7.42,0,Java,https://github.com/forezp/SpringCloudLearning,2.0,1120.0,4.6571428571428575,4.0,2.4517382421790597,0.07940476299999999,0.0,0.20063995841930676,True
LMAX-Exchange/disruptor,17346,11.97,14,Java,https://github.com/LMAX-Exchange/disruptor,8.0,13157.0,4.478048780487805,3.0,4.809112904107132,0.27461133698369566,0.0,0.3308359695409972,True
dataease/dataease,17266,3.6,81,Java,https://github.com/dataease/dataease,6.0,34078.0,4.802083333333333,3.0,6.611889215122676,0.29942156756708405,0.0,0.3804318326350785,True
Tencent/tinker,17131,8.01,57,Java,https://github.com/Tencent/tinker,53.0,39601.0,4.738188976377953,3.0,6.977773928958863,0.32191441448523206,0.0,0.37141574208564077,True
LSPosed/LSPosed,17085,3.74,39,Java,https://github.com/LSPosed/LSPosed,16.0,22952.0,5.526932084309133,3.0,7.244224103349929,0.1990464229443099,0.0,0.3311756504028312,True
facebook/fresco,17071,9.53,51,Java,https://github.com/facebook/fresco,14.0,63167.0,6.745035742652899,5.0,6.916336319217958,0.2725747176538769,0.0,0.3470948788492038,True
